"sitename","lat","long","siteid","datasetid","age","Salix","Populus","Picea"
"Red Green Lake",68.654086,-149.681654,"10537","16236",8473,4,0,1
"Red Green Lake",68.654086,-149.681654,"10537","16236",8546,4,0,0
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",-47,24,1,27
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",59,27,0,6
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",162,7,0,10
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",271,1,0,2
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",384,1,0,5
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",489,2,0,6
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",598,7,0,2
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",715,10,0,3
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",824,6,0,4
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",932,7,0,4
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",1041,8,0,6
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",1254,12,0,8
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",1469,6,0,5
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",1576,6,0,6
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",1815,13,0,4
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",2059,11,0,6
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",2330,3,0,10
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",2668,2,0,6
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",3006,1,0,3
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",3348,2,0,2
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",3519,15,0,2
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",3855,6,0,9
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",4022,3,0,2
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",4420,7,0,4
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",4863,2,0,1
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",5073,9,0,11
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",5497,15,0,2
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",6136,5,0,3
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",6354,6,0,3
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",6893,27,0,4
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",7406,12,2,2
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",7693,12,0,9
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",8083,8,0,2
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",8503,22,0,1
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",8957,16,1,2
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",9213,11,4,0
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",9311,17,1,1
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",9423,8,4,0
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",9624,15,2,0
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",10035,18,0,1
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",10461,15,4,0
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",10684,23,0,0
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",10978,9,2,0
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",11148,23,0,0
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",11319,22,0,0
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",11594,11,0,0
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",11693,23,0,0
"Upper Capsule Lake",68.630934,-149.417838,"10539","16241",11792,6,0,0
"Crowsnest Lake",68.33333,-146.48333,"513","527",123,12,7,27
"Crowsnest Lake",68.33333,-146.48333,"513","527",246,11,2,40
"Crowsnest Lake",68.33333,-146.48333,"513","527",493,3,0,60
"Crowsnest Lake",68.33333,-146.48333,"513","527",739,9,0,54
"Crowsnest Lake",68.33333,-146.48333,"513","527",985,2,0,69
"Crowsnest Lake",68.33333,-146.48333,"513","527",1232,4,2,63
"Crowsnest Lake",68.33333,-146.48333,"513","527",1601,6,0,50
"Crowsnest Lake",68.33333,-146.48333,"513","527",1724,7,0,74
"Crowsnest Lake",68.33333,-146.48333,"513","527",1970,10,1,60
"Crowsnest Lake",68.33333,-146.48333,"513","527",2217,4,0,93
"Crowsnest Lake",68.33333,-146.48333,"513","527",2463,6,1,77
"Crowsnest Lake",68.33333,-146.48333,"513","527",2709,6,0,60
"Crowsnest Lake",68.33333,-146.48333,"513","527",2956,10,0,79
"Crowsnest Lake",68.33333,-146.48333,"513","527",3202,8,2,96
"Crowsnest Lake",68.33333,-146.48333,"513","527",3448,4,1,59
"Crowsnest Lake",68.33333,-146.48333,"513","527",3695,5,2,60
"Crowsnest Lake",68.33333,-146.48333,"513","527",3941,12,1,43
"Crowsnest Lake",68.33333,-146.48333,"513","527",4187,8,1,41
"Crowsnest Lake",68.33333,-146.48333,"513","527",4433,5,0,74
"Crowsnest Lake",68.33333,-146.48333,"513","527",4680,8,4,103
"Crowsnest Lake",68.33333,-146.48333,"513","527",4926,2,0,45
"Crowsnest Lake",68.33333,-146.48333,"513","527",5172,7,0,60
"Crowsnest Lake",68.33333,-146.48333,"513","527",5419,12,0,47
"Crowsnest Lake",68.33333,-146.48333,"513","527",5665,7,0,29
"Crowsnest Lake",68.33333,-146.48333,"513","527",5911,8,1,49
"Crowsnest Lake",68.33333,-146.48333,"513","527",6158,8,0,81
"Crowsnest Lake",68.33333,-146.48333,"513","527",6363,7,1,57
"Crowsnest Lake",68.33333,-146.48333,"513","527",6472,12,0,69
"Crowsnest Lake",68.33333,-146.48333,"513","527",6527,9,0,32
"Crowsnest Lake",68.33333,-146.48333,"513","527",6581,4,1,50
"Crowsnest Lake",68.33333,-146.48333,"513","527",6691,5,1,39
"Crowsnest Lake",68.33333,-146.48333,"513","527",6811,4,0,51
"Crowsnest Lake",68.33333,-146.48333,"513","527",6909,6,0,40
"Crowsnest Lake",68.33333,-146.48333,"513","527",7018,3,2,30
"Crowsnest Lake",68.33333,-146.48333,"513","527",7128,7,0,62
"Crowsnest Lake",68.33333,-146.48333,"513","527",7237,8,1,67
"Crowsnest Lake",68.33333,-146.48333,"513","527",7346,9,0,17
"Crowsnest Lake",68.33333,-146.48333,"513","527",7423,7,8,99
"Crowsnest Lake",68.33333,-146.48333,"513","527",7565,3,0,31
"Crowsnest Lake",68.33333,-146.48333,"513","527",7674,6,2,35
"Crowsnest Lake",68.33333,-146.48333,"513","527",7783,4,0,26
"Crowsnest Lake",68.33333,-146.48333,"513","527",7893,7,0,20
"Crowsnest Lake",68.33333,-146.48333,"513","527",7958,7,3,30
"Crowsnest Lake",68.33333,-146.48333,"513","527",8057,7,1,4
"Crowsnest Lake",68.33333,-146.48333,"513","527",8133,15,0,19
"Crowsnest Lake",68.33333,-146.48333,"513","527",8166,5,0,49
"Crowsnest Lake",68.33333,-146.48333,"513","527",8177,10,1,18
"Crowsnest Lake",68.33333,-146.48333,"513","527",8220,13,0,24
"Crowsnest Lake",68.33333,-146.48333,"513","527",8330,15,1,9
"Crowsnest Lake",68.33333,-146.48333,"513","527",8439,7,5,8
"Crowsnest Lake",68.33333,-146.48333,"513","527",8548,11,0,9
"Crowsnest Lake",68.33333,-146.48333,"513","527",8712,6,1,7
"Crowsnest Lake",68.33333,-146.48333,"513","527",8876,12,3,14
"Crowsnest Lake",68.33333,-146.48333,"513","527",9040,20,0,6
"Crowsnest Lake",68.33333,-146.48333,"513","527",9165,7,1,3
"Crowsnest Lake",68.33333,-146.48333,"513","527",9290,7,0,1
"Crowsnest Lake",68.33333,-146.48333,"513","527",9415,11,0,0
"Crowsnest Lake",68.33333,-146.48333,"513","527",9615,18,8,1
"Crowsnest Lake",68.33333,-146.48333,"513","527",9727,16,4,3
"Crowsnest Lake",68.33333,-146.48333,"513","527",9914,9,1,2
"Crowsnest Lake",68.33333,-146.48333,"513","527",10102,4,2,0
"Crowsnest Lake",68.33333,-146.48333,"513","527",10226,2,0,1
"Crowsnest Lake",68.33333,-146.48333,"513","527",10351,11,5,1
"Crowsnest Lake",68.33333,-146.48333,"513","527",10476,6,1,1
"Crowsnest Lake",68.33333,-146.48333,"513","527",10601,6,2,0
"Crowsnest Lake",68.33333,-146.48333,"513","527",10664,6,0,1
"Crowsnest Lake",68.33333,-146.48333,"513","527",10851,5,0,1
"Seagull Lake",68.26667,-145.21667,"2271","2352",123,3,0,80
"Seagull Lake",68.26667,-145.21667,"2271","2352",411,5,0,30
"Seagull Lake",68.26667,-145.21667,"2271","2352",616,0,0,26
"Seagull Lake",68.26667,-145.21667,"2271","2352",1233,6,0,27
"Seagull Lake",68.26667,-145.21667,"2271","2352",1438,3,0,65
"Seagull Lake",68.26667,-145.21667,"2271","2352",2055,2,0,38
"Seagull Lake",68.26667,-145.21667,"2271","2352",2436,8,0,57
"Seagull Lake",68.26667,-145.21667,"2271","2352",2612,4,0,27
"Seagull Lake",68.26667,-145.21667,"2271","2352",2964,3,0,26
"Seagull Lake",68.26667,-145.21667,"2271","2352",3140,5,0,47
"Seagull Lake",68.26667,-145.21667,"2271","2352",3316,3,0,51
"Seagull Lake",68.26667,-145.21667,"2271","2352",3492,3,0,43
"Seagull Lake",68.26667,-145.21667,"2271","2352",3844,6,0,57
"Seagull Lake",68.26667,-145.21667,"2271","2352",4020,2,0,65
"Seagull Lake",68.26667,-145.21667,"2271","2352",4372,1,0,63
"Seagull Lake",68.26667,-145.21667,"2271","2352",4548,3,0,61
"Seagull Lake",68.26667,-145.21667,"2271","2352",4724,6,0,69
"Seagull Lake",68.26667,-145.21667,"2271","2352",5076,1,0,46
"Seagull Lake",68.26667,-145.21667,"2271","2352",5252,2,0,33
"Seagull Lake",68.26667,-145.21667,"2271","2352",5428,2,1,61
"Seagull Lake",68.26667,-145.21667,"2271","2352",5780,6,0,65
"Seagull Lake",68.26667,-145.21667,"2271","2352",6355,4,2,42
"Seagull Lake",68.26667,-145.21667,"2271","2352",6930,3,1,34
"Seagull Lake",68.26667,-145.21667,"2271","2352",7505,3,0,30
"Seagull Lake",68.26667,-145.21667,"2271","2352",8080,7,0,87
"Seagull Lake",68.26667,-145.21667,"2271","2352",8655,5,0,63
"Seagull Lake",68.26667,-145.21667,"2271","2352",9230,2,3,15
"Seagull Lake",68.26667,-145.21667,"2271","2352",9535,14,5,1
"Seagull Lake",68.26667,-145.21667,"2271","2352",9840,18,5,2
"Seagull Lake",68.26667,-145.21667,"2271","2352",10145,20,2,0
"Seagull Lake",68.26667,-145.21667,"2271","2352",10755,20,0,0
"Seagull Lake",68.26667,-145.21667,"2271","2352",11365,32,3,1
"Seagull Lake",68.26667,-145.21667,"2271","2352",11975,9,0,0
"Seagull Lake",68.26667,-145.21667,"2271","2352",12585,10,1,1
"Seagull Lake",68.26667,-145.21667,"2271","2352",13195,16,0,1
"Seagull Lake",68.26667,-145.21667,"2271","2352",13805,20,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",18,31,0,20
"Tukuto Lake",68.49686,-157.0356,"10538","16238",145,17,0,16
"Tukuto Lake",68.49686,-157.0356,"10538","16238",273,2,0,5
"Tukuto Lake",68.49686,-157.0356,"10538","16238",400,19,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",528,10,0,18
"Tukuto Lake",68.49686,-157.0356,"10538","16238",656,9,0,3
"Tukuto Lake",68.49686,-157.0356,"10538","16238",785,10,0,3
"Tukuto Lake",68.49686,-157.0356,"10538","16238",914,14,0,6
"Tukuto Lake",68.49686,-157.0356,"10538","16238",1041,19,0,1
"Tukuto Lake",68.49686,-157.0356,"10538","16238",1170,30,0,8
"Tukuto Lake",68.49686,-157.0356,"10538","16238",1287,24,0,6
"Tukuto Lake",68.49686,-157.0356,"10538","16238",1393,20,0,5
"Tukuto Lake",68.49686,-157.0356,"10538","16238",1498,12,0,1
"Tukuto Lake",68.49686,-157.0356,"10538","16238",1605,13,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",1820,21,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",1982,27,0,6
"Tukuto Lake",68.49686,-157.0356,"10538","16238",2183,20,0,5
"Tukuto Lake",68.49686,-157.0356,"10538","16238",2333,18,0,14
"Tukuto Lake",68.49686,-157.0356,"10538","16238",2479,31,0,11
"Tukuto Lake",68.49686,-157.0356,"10538","16238",2637,21,0,7
"Tukuto Lake",68.49686,-157.0356,"10538","16238",2853,27,0,8
"Tukuto Lake",68.49686,-157.0356,"10538","16238",3069,22,0,19
"Tukuto Lake",68.49686,-157.0356,"10538","16238",3290,36,0,7
"Tukuto Lake",68.49686,-157.0356,"10538","16238",3510,25,0,2
"Tukuto Lake",68.49686,-157.0356,"10538","16238",3729,24,0,7
"Tukuto Lake",68.49686,-157.0356,"10538","16238",3955,29,0,6
"Tukuto Lake",68.49686,-157.0356,"10538","16238",4179,15,0,7
"Tukuto Lake",68.49686,-157.0356,"10538","16238",4397,9,1,7
"Tukuto Lake",68.49686,-157.0356,"10538","16238",4612,32,0,1
"Tukuto Lake",68.49686,-157.0356,"10538","16238",4828,22,0,6
"Tukuto Lake",68.49686,-157.0356,"10538","16238",5016,17,0,10
"Tukuto Lake",68.49686,-157.0356,"10538","16238",5203,14,0,5
"Tukuto Lake",68.49686,-157.0356,"10538","16238",5388,15,0,1
"Tukuto Lake",68.49686,-157.0356,"10538","16238",5586,20,0,4
"Tukuto Lake",68.49686,-157.0356,"10538","16238",6840,17,0,6
"Tukuto Lake",68.49686,-157.0356,"10538","16238",7599,32,0,10
"Tukuto Lake",68.49686,-157.0356,"10538","16238",8254,29,0,2
"Tukuto Lake",68.49686,-157.0356,"10538","16238",8753,44,0,2
"Tukuto Lake",68.49686,-157.0356,"10538","16238",9234,30,7,1
"Tukuto Lake",68.49686,-157.0356,"10538","16238",9698,41,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",10168,38,1,2
"Tukuto Lake",68.49686,-157.0356,"10538","16238",10629,35,2,1
"Tukuto Lake",68.49686,-157.0356,"10538","16238",11104,42,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",11577,50,3,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",12037,45,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",12512,49,1,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",12985,39,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",13462,39,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",13934,58,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",14391,78,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",14836,65,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",15108,60,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",15333,98,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",15771,90,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",15999,115,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",16306,74,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",17561,50,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",19110,16,0,6
"Tukuto Lake",68.49686,-157.0356,"10538","16238",20649,12,0,1
"Tukuto Lake",68.49686,-157.0356,"10538","16238",22186,14,0,2
"Tukuto Lake",68.49686,-157.0356,"10538","16238",23743,26,0,2
"Tukuto Lake",68.49686,-157.0356,"10538","16238",25290,28,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",26823,21,0,1
"Tukuto Lake",68.49686,-157.0356,"10538","16238",27471,10,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",27908,53,0,1
"Tukuto Lake",68.49686,-157.0356,"10538","16238",28337,26,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",31333,31,0,1
"Tukuto Lake",68.49686,-157.0356,"10538","16238",33917,46,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",34355,48,0,1
"Tukuto Lake",68.49686,-157.0356,"10538","16238",34775,35,0,1
"Tukuto Lake",68.49686,-157.0356,"10538","16238",35188,29,0,0
"Tukuto Lake",68.49686,-157.0356,"10538","16238",35596,30,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",0,6,5,13
"Kaiyak Lake",68.15,-161.41667,"1396","1432",1047,10,4,18
"Kaiyak Lake",68.15,-161.41667,"1396","1432",2093,21,4,18
"Kaiyak Lake",68.15,-161.41667,"1396","1432",3578,8,1,19
"Kaiyak Lake",68.15,-161.41667,"1396","1432",4455,10,5,6
"Kaiyak Lake",68.15,-161.41667,"1396","1432",5331,14,5,10
"Kaiyak Lake",68.15,-161.41667,"1396","1432",6207,10,3,6
"Kaiyak Lake",68.15,-161.41667,"1396","1432",6821,8,4,3
"Kaiyak Lake",68.15,-161.41667,"1396","1432",7785,8,0,6
"Kaiyak Lake",68.15,-161.41667,"1396","1432",8198,15,1,2
"Kaiyak Lake",68.15,-161.41667,"1396","1432",8495,11,4,1
"Kaiyak Lake",68.15,-161.41667,"1396","1432",8792,11,0,1
"Kaiyak Lake",68.15,-161.41667,"1396","1432",9664,7,2,1
"Kaiyak Lake",68.15,-161.41667,"1396","1432",11113,30,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",12562,46,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",14010,17,2,1
"Kaiyak Lake",68.15,-161.41667,"1396","1432",14582,30,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",14969,14,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",15320,32,2,1
"Kaiyak Lake",68.15,-161.41667,"1396","1432",15672,17,4,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",16024,21,3,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",16411,28,2,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",16728,12,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",17080,13,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",17467,26,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",17995,13,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",18347,11,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",18699,19,0,2
"Kaiyak Lake",68.15,-161.41667,"1396","1432",19051,11,0,2
"Kaiyak Lake",68.15,-161.41667,"1396","1432",19403,19,0,1
"Kaiyak Lake",68.15,-161.41667,"1396","1432",19754,3,0,1
"Kaiyak Lake",68.15,-161.41667,"1396","1432",20106,13,0,1
"Kaiyak Lake",68.15,-161.41667,"1396","1432",20458,29,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",20810,18,3,3
"Kaiyak Lake",68.15,-161.41667,"1396","1432",21338,11,1,1
"Kaiyak Lake",68.15,-161.41667,"1396","1432",21690,22,0,3
"Kaiyak Lake",68.15,-161.41667,"1396","1432",22647,18,5,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",23604,12,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",24561,16,2,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",25996,3,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",26953,13,6,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",27910,10,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",28867,13,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",29823,21,2,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",30780,16,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",31737,18,2,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",32694,28,4,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",34608,10,1,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",35565,15,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",36522,23,0,2
"Kaiyak Lake",68.15,-161.41667,"1396","1432",37478,16,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",38435,16,0,0
"Kaiyak Lake",68.15,-161.41667,"1396","1432",39392,31,0,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",1176,13,0,16
"Niliq Lake",67.86667,-160.43333,"1748","1806",1680,2,0,8
"Niliq Lake",67.86667,-160.43333,"1748","1806",2794,4,0,8
"Niliq Lake",67.86667,-160.43333,"1748","1806",3341,5,0,4
"Niliq Lake",67.86667,-160.43333,"1748","1806",3888,11,0,7
"Niliq Lake",67.86667,-160.43333,"1748","1806",4435,9,0,5
"Niliq Lake",67.86667,-160.43333,"1748","1806",4982,5,0,6
"Niliq Lake",67.86667,-160.43333,"1748","1806",5529,2,0,3
"Niliq Lake",67.86667,-160.43333,"1748","1806",6076,2,0,1
"Niliq Lake",67.86667,-160.43333,"1748","1806",6350,0,0,1
"Niliq Lake",67.86667,-160.43333,"1748","1806",6604,6,1,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",6858,4,0,1
"Niliq Lake",67.86667,-160.43333,"1748","1806",7112,3,1,1
"Niliq Lake",67.86667,-160.43333,"1748","1806",7620,2,0,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",8128,10,0,1
"Niliq Lake",67.86667,-160.43333,"1748","1806",8636,6,0,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",8839,6,2,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",8980,11,1,2
"Niliq Lake",67.86667,-160.43333,"1748","1806",9161,6,0,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",9342,8,0,2
"Niliq Lake",67.86667,-160.43333,"1748","1806",9523,12,2,1
"Niliq Lake",67.86667,-160.43333,"1748","1806",9704,19,0,2
"Niliq Lake",67.86667,-160.43333,"1748","1806",9885,17,4,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",10066,13,3,1
"Niliq Lake",67.86667,-160.43333,"1748","1806",10247,15,5,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",10428,19,1,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",10609,17,8,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",10681,20,17,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",10790,38,20,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",10880,39,10,1
"Niliq Lake",67.86667,-160.43333,"1748","1806",11050,33,2,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",11391,17,0,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",11732,21,1,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",12073,18,0,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",12414,19,0,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",12755,13,0,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",13096,36,0,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",13266,9,0,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",13437,56,0,0
"Niliq Lake",67.86667,-160.43333,"1748","1806",13607,31,1,1
"Niliq Lake",67.86667,-160.43333,"1748","1806",13778,33,0,1
"Niliq Lake",67.86667,-160.43333,"1748","1806",14050,57,0,1
"Etivlik Lake",68.13333,-156.03333,"790","811",118,8,0,24
"Etivlik Lake",68.13333,-156.03333,"790","811",591,3,0,24
"Etivlik Lake",68.13333,-156.03333,"790","811",1183,6,0,32
"Etivlik Lake",68.13333,-156.03333,"790","811",2366,7,0,24
"Etivlik Lake",68.13333,-156.03333,"790","811",3549,4,0,26
"Etivlik Lake",68.13333,-156.03333,"790","811",4587,6,1,25
"Etivlik Lake",68.13333,-156.03333,"790","811",5480,2,1,7
"Etivlik Lake",68.13333,-156.03333,"790","811",6373,8,0,5
"Etivlik Lake",68.13333,-156.03333,"790","811",7267,1,0,4
"Etivlik Lake",68.13333,-156.03333,"790","811",8160,5,3,5
"Etivlik Lake",68.13333,-156.03333,"790","811",8354,5,1,18
"Etivlik Lake",68.13333,-156.03333,"790","811",8548,6,2,14
"Etivlik Lake",68.13333,-156.03333,"790","811",8742,17,4,4
"Etivlik Lake",68.13333,-156.03333,"790","811",8937,16,12,1
"Etivlik Lake",68.13333,-156.03333,"790","811",9325,20,0,0
"Etivlik Lake",68.13333,-156.03333,"790","811",9713,16,6,0
"Etivlik Lake",68.13333,-156.03333,"790","811",10101,31,0,0
"Etivlik Lake",68.13333,-156.03333,"790","811",10490,16,0,0
"Etivlik Lake",68.13333,-156.03333,"790","811",10878,19,0,0
"Etivlik Lake",68.13333,-156.03333,"790","811",12431,14,0,0
"Etivlik Lake",68.13333,-156.03333,"790","811",12819,18,0,1
"Etivlik Lake",68.13333,-156.03333,"790","811",13596,20,0,1
"Etivlik Lake",68.13333,-156.03333,"790","811",13984,22,0,1
"Headwaters Lake",67.93333,-155.05,"992","1024",0,9,0,17
"Headwaters Lake",67.93333,-155.05,"992","1024",257,15,0,15
